cv_filename,name,num_hits,matches,snippets
CV_Sunghun_CHUNG_GWU_Oct2025.pdf,Sunghun Chung,24,AI; Artificial Intelligence; Deep Learning; GenAI; Generative AI; Machine Learning,"                         • Research Area: Digital Inclusion, Digital Platform Strategy, Digital Innovation, Responsible AI, Social Media  • Research Methods: Randomized Field Experiments, Applied Econometrics, and Machine Learning  SELECTED J || l Innovation, Responsible AI, Social Media  • Research Methods: Randomized Field Experiments, Applied Econometrics, and Machine Learning  SELECTED JOURNAL PUBLICATIONS                [1] Kim, J., Yoon, S., Chung, S., and Oh, W. (2025) “Working Daily, Paid  || 3rd round review at Journal of Operations Management (UTD-24, FT-50). [2] Chung, S., Lee, C., and Zheng, Z. “Delivering AI Responsibly for Digital Equity: Three Sequential Field Experiments in Revenue-Based Financing,” Under revision for 2nd  ||  round review at MIS Quarterly (UTD-24, FT-50). [3] Min, D., Chung, S., Lee, C., and Duan, W. “Implementing Explainable Artificial Intelligence for Non-Expert Users in Mobile Health Management: Evidence from a Randomized Field Experiment,” Under revision for 2nd  || nal of Management (ABS 4). [6] Yu, W., Chung, S., Fang, M., Ho, Y .-C., Liu F. “Does Techwashing Pay Off? The Impact of AI Decoupling on Financial Performance and the Moderating Role of Labor Intensity,” Under review at Journal of Strategic I || 4).   PROJECTS WORKING-IN-PROGRESS               [1] Ahn, D., Lee, H., Chung, S., and Lee, D. “Towards Expert-Augmented AI Decision Support Systems: A Field Experiment in Lending,” Targeting submission to Management Science (UTD-24, FT-50). [ || ence (UTD-24, FT-50). [2] Lee, H., Chung, S., and Zheng, Z. “Enhancing Borrower Repayment Behavior through Human versus AI Interventions: Evidence from a Field Experiment on a Revenue-Based Financing,” Targeting submission to Information Syst || rm,” Targeting submission to Information Systems Research (UTD-24, FT-50). [4] Min, D., Chung, S., Li, X., and Lee, C. “GenAI-Empowered Social Chatbot Conversation Design and Mental Health: Evidence from a Large-Scale Field Experiment,” Targetin || ERENCE AND WORKSHOP PUBLICATIONS                 [1] Ahn, D., Lee, H., Chung, S., and Lee, D. “Towards Expert-Augmented AI Decision Support Systems: A Field Experiment in Lending,” Workshop on Information Systems and Economics (WISE 2025), Na || nclusive Impact: Evidence from a Seller-Level Field Experiment on Early Settlement Service in E-Commerce Platform,” the AI and the Future of Collaborative Innovation workshop at NYU, New York, 2025. [4] Min, D., Chung, S., Lee, C, and Li, X.  || and the Future of Collaborative Innovation workshop at NYU, New York, 2025. [4] Min, D., Chung, S., Lee, C, and Li, X. “GenAI-Empowered Social Chatbot Conversation Design and Mental Health: Evidence from a Large-Scale Field Experiment,” 35th Ann || Management Society Conference (POMS 2025), Atlanta, Georgia, 2025. [5] Shin, D., Chung, S., and Ho, Y .-C. “Responsible AI for Equal Opportunities: Building Fair Credit Scoring Systems in Early-Settlement Platforms,” Biz AI Conference 2025, D ||  .-C. “Responsible AI for Equal Opportunities: Building Fair Credit Scoring Systems in Early-Settlement Platforms,” Biz AI Conference 2025, Dallas, Texas, 2025.   Curriculum Vitae: Sunghun Chung                                                 ||                                        Page 4 of 8 [6] Ahn, D., Lee, H., Chung, S., and Lee, D. “Empowering Explainable AI through Human Intervention: Evidence from a Randomized Field Experiment in Peer-to-Peer Lending,” Biz AI Conference 202 || ng Explainable AI through Human Intervention: Evidence from a Randomized Field Experiment in Peer-to-Peer Lending,” Biz AI Conference 2025, Dallas, Texas, 2025. [7] Min, D., Chung, S., Lee, C, and Li, X. “GenAI-Empowered Social Chatbot Conver || ment in Peer-to-Peer Lending,” Biz AI Conference 2025, Dallas, Texas, 2025. [7] Min, D., Chung, S., Lee, C, and Li, X. “GenAI-Empowered Social Chatbot Conversation Design and Mental Health: Evidence from a Large-Scale Field Experiment,” Conferen || nt Paper Award, Winner). [8] Lee, H., Chung, S., and Zheng, Z. “Enhancing Borrower Repayment Behavior through Human and AI Interventions: Evidence from a Field Experiment on a Revenue-Based Financing Platform,” Conference on Information Syste || alytics (CHITA 2024), Washington DC, 2024. [10] Min, D., Chung, S., Lee, C., and Duan, W. “What is the Best Explainable Artificial Intelligence for Shaping User Behavior? Evidence from Two Randomized Field Experiments,” Biz AI Conference 2024, Dallas TX, 2024.  [ || est Explainable Artificial Intelligence for Shaping User Behavior? Evidence from Two Randomized Field Experiments,” Biz AI Conference 2024, Dallas TX, 2024.  [11] Min, D., Chung, S., Lee, C., and Li, X. “Hello, I'm Here: The Impact of Social  || ndia, 2023 (The Best Student Paper Award). [13] Min, D., Chung, S., Lee, C., and Duan, W. “What is the Best Explainable Artificial Intelligence for Enhancing Self-Regulation Behavior in Healthcare Management? Evidence from A Randomized Field Experiment,” Conferen || of Business, Doctoral Student Conference, August 2007.  TEACHING INTEREST & EXPERTISE                - Emerging Topics: Generative AI for Business, Business Analytics & Big Data Analytics - Context Specific Topics: FinTech Analytics, Introduction to Fin || oject, and Introduction to Information Systems  TEACHING EXPERIENCE                      George Washington University - Generative AI for Business: Fall 2026 (scheduled, newly developed) - Foundations of Artificial Intelligence (graduate): Fall 2022/202 ||      George Washington University - Generative AI for Business: Fall 2026 (scheduled, newly developed) - Foundations of Artificial Intelligence (graduate): Fall 2022/2023/2024 (avg. evaluations: 4.7/5) - Management Information Systems Technology (intro course to  || ing Science (ISMS) - Big Data Analysis Skills, Programming Languages, and Software Packages Python, Apache Hadoop Hive, Deep Learning, Spark, C/C++, JA V A, Visual Basic STATA, R, MATLAB, SPSS, SAS, Mathematica, MySQL  "
Choate_CV.pdf,Thomas Choate,1,Generative AI,"sent) Future Enrollment Planning subcommittee (2023 – Present) Academic Integrity Code Review subcommittee (2022 –2025) Generative AI in Writing in the Disciplines working group (2024) Fiscal Planning & Budgeting Committee, GW Faculty Senate (May 2025 –"
Chukwuma_Dim_CV.pdf,Chukwuma Dim,,,
Donald Buzinkai June 2025 CV.pdf,Donald Buzinkai,0,,
Donna%20Hoffman_CV_June_2020.pdf,Donna Hoffman,29,AI; Artificial Intelligence; Machine Learning; NLP; machine learning,"Asymmetric Residual Maps for Market Structure Analysis.”  Research Interests  • Consumer and smart object experience of AI using assemblage theory and object-oriented ontology perspectives • Computational approaches (machine learning and NLP  || t object experience of AI using assemblage theory and object-oriented ontology perspectives • Computational approaches (machine learning and NLP methods) for understanding consumer-smart object experience from IoT interaction data • Self-extension and self || f AI using assemblage theory and object-oriented ontology perspectives • Computational approaches (machine learning and NLP methods) for understanding consumer-smart object experience from IoT interaction data • Self-extension and self-expansi || in summer 2020.   3. Hoffman, D.L. and T.P. Novak, “Human-Centric versus Object-Oriented Perspectives on Perceptions of AI,” three studies completed, target: Journal of Consumer Research.  4. Hildebrand, C., D.L. Hoffman and T.P. Novak, “Dehu ||  Things, June 11. 2. Hoffman, D.L. and T.P. Novak (2020), “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” paper presented at the First Virtual ISMS Marketing Science Conference, Session SC06 – Artificial Intelligence 1, Jun || Mechanism for Understanding AI,” paper presented at the First Virtual ISMS Marketing Science Conference, Session SC06 – Artificial Intelligence 1, June 13. 3. Hoffman, D.L. and T.P. Novak (2020), “Object Oriented Metaphorism as a Mechanism for Understanding AI,”  || gence 1, June 13. 3. Hoffman, D.L. and T.P. Novak (2020), “Object Oriented Metaphorism as a Mechanism for Understanding AI,” paper presented at the Winter AMA Academic Conference, San Diego, CA, February 13-16.  4. Novak, T.P. and D.L. Hoffma || February 13-16.  4. Novak, T.P. and D.L. Hoffman (2020), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” Keynote Address presented at the Affective Content Analysis (AffCon) Workshop, AAAI-20, New York City, Febru || City, February 7. 5. Hoffman, D.L. and T.P. Novak (2019), “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” Paper presented at the Psychology of Technology Institute “New Directions in Research on the Psychology of Technology || ne 2020      7. Hoffman, D.L. and T.P. Novak (2019), “Object-Oriented Anthropomorphism as a Mechanism for Understanding AI,” paper presented in the Special Session, “Rethinking Anthropomorphism: The Antecedents, Unexpected Consequences, and P || ctober 17-20.  8. Novak, Thomas and D.L. Hoffman (2019), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” paper presented in the Special Session, “Extracting Behavioral Insights from Big Data: Novel AI and NLP Appr || achine Learning Approach,” paper presented in the Special Session, “Extracting Behavioral Insights from Big Data: Novel AI and NLP Approaches,” ACR Fiftieth Anniversary Conference, Atlanta, Georgia, October 17-20.  9. Hoffman, D.L. and T.P. N || Learning Approach,” paper presented in the Special Session, “Extracting Behavioral Insights from Big Data: Novel AI and NLP Approaches,” ACR Fiftieth Anniversary Conference, Atlanta, Georgia, October 17-20.  9. Hoffman, D.L. and T.P. Novak (20 || , October 17-20.  9. Hoffman, D.L. and T.P. Novak (2019), “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” paper presented in the Symposium, “Rethinking Anthropomorphism: The Antecedents, Unexpected Consequences, and Potenti || , October 3-5.  10. Novak, T.P. and D.L. Hoffman (2019), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” paper presented at the 11th Triennial Invitational Choice Symposium, Cambridge, Maryland, May 30 – June 1.   || itational Choice Symposium, Cambridge, Maryland, May 30 – June 1.  11. Hoffman, D.L. and Novak, T.P. (2019), “Impact of AI on Consumer Experience,” paper presented at the 11th Triennial Invitational Choice Symposium, Cambridge, Maryland, May  || ennial Invitational Choice Symposium, Cambridge, Maryland, May 30 – June 1.  12. Hoffman, D.L. and Novak, T.P. (2019), “AI: Beyond Friend or Foe,” paper presented at the Theory + Practice in Marketing (TPM) Conference, Columbia, May 16-18.  1 || y, May 10-11.   14. Novak, T.P. and D.L. Hoffman (2019), “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” paper presented at the GWSB Inaugural Conference on the Intelligence of Things, April 5.  15. Hoffman, D.L.  || 2020      16. Hoffman, D.L. (2019), “Opportunities and Challenges in Using Computational Methods to Study the Impact of AI on Consumer Behavior,” paper presented in Special Session on Machine Learning for Consumer Behavior Research, Winter AM || s in Using Computational Methods to Study the Impact of AI on Consumer Behavior,” paper presented in Special Session on Machine Learning for Consumer Behavior Research, Winter AMA, Austin, TX, February 22-24.  17. Hoffman, D.L. (2019), “The Future of Omni- || ew Tech: Methodological Challenges and Solutions,” presentation in the Roundtable Special Session, “Trust in the Age of AI,” Association for Consumer Research, Dallas, TX, October 11-14.  19. Novak, T.P. and D.L. Hoffman (2018), “A Computatio || ber 11-14.  20. Hoffman, D.L. and T.P. Novak (2018), “Object-Oriented Anthropomorphism as a Mechanism for Understanding AI,” paper presented in the Special Session, Association for Consumer Research, Dallas, TX, October 11-14.  21. Novak, T.P || arketing in the Consumer Internet of Things, September 30, Washington, DC.  39. Hoffman, D.L. and T.P. Novak (2016), “A Machine Learning and Data-Driven Visualization Framework for Studying Emergent Experience in the Consumer IoT,” Paper presented at the M || ago, March 12-14.  Invited University Research Seminars   “Object-Oriented Metaphorism as a Mechanism for Understanding AI,” Baruch College, Zicklin School of Business, New York City, November 1, 2019.  “Reifying the Possibility Space of IoT  || in School of Business, New York City, November 1, 2019.  “Reifying the Possibility Space of IoT Automation Practices: A Machine Learning Approach,” Keynote, Voya Financial Colloquium: Innovation and Technology in Marketing, University of Connecticut, Septe || rton Joint Seminar, January 30, 1987.  Invited Industry and Government Seminars and Conferences  Hoffman, D.L. (2019), “AI and the Future of Marketing: From Efficiency to Experience,” Marketing Edge Board of Trustees Meeting, George Washingto || ng Edge Board of Trustees Meeting, George Washington University School of Business, October 10.  Hoffman, D.L. (2019), “AI and the Future of Retailing: From Efficiency to Experience,” New Insights on Retail Evolution from Top Universities, Sh || , Gies College of Business, University of Illinois, Ph.D. Expected 2021). Member. Dissertation topic : ""Me, Myself, and AI: The Impact of Artificial Intelligence on Marketing and the Self.""  Abishek Borah (Marketing, Marshall School of Busine || Business, University of Illinois, Ph.D. Expected 2021). Member. Dissertation topic : ""Me, Myself, and AI: The Impact of Artificial Intelligence on Marketing and the Self.""  Abishek Borah (Marketing, Marshall School of Business, USC, Ph.D. 2013. First placement : "
Faculty_Ormiston_CV_2016.12.pdf,Margaret Ormiston,0,,
Gehman_CV_20220218.pdf,Joel Gehman,1,Neural Network," Inquiry. 26: 303–325. doi:10.1177/1056492616689303.  17. Dong, C., Dong, X., Gehman, J. & Lefsrud, L.M. 2017. Using BP Neural Networks to Prioritize Risk Management Approaches for China’s Unconventional Shale Gas Industry. Sustainability. 9: 979. doi:10"
Jenny_Zha_Giedt_CV.pdf,Jenny Zha Giedt,,,
Khamooshi_Homayoun_Faculty_CV_2016.03.28.pdf,Homayoun Khamooshi,0,,
Pamphile-CV-Aug2025.pdf,Vontrese Pamphile,0,,
Vikram%20Bhargava%20CV%20.pdf,Vikram R. Bhargava,,,
VineetBhagwat_CV_2025Oct.pdf,Vineet Bhagwat,0,,
Weiner-CV-Dec-23-428d3c061bbe7d0e.pdf,Robert J. Weiner,0,,
William%20Stromsem%20CV.pdf,William Stromsem,0,,
Yun Zhang.pdf,Yun Zhang,0,,
_ FacultyCV_CTosun_7_11_2025.pdf,Cevat Tosun,0,,
aw_cv_august_2023.pdf,Ariel Weinberger,0,,
bronner_cv_april_2024.pdf,Ben Bronner,1,Artificial Intelligence,"/22   Adapting and Remixing OER, 11/2/22   Adopting OER into Your Courseware Material, 9/28/22   Miscellaneous   Use of Artificial Intelligence in the Classroom. Ad hoc group of GW faculty, George  Washington University, 1/18/23   Workshop on Grading Collaborativ"
curriculum-vitae,Robert Savickas,,,
cv_YuanGuo.pdf,Yuan Guo,0,,
cv_gergana_jostova_2025.pdf,Gergana Jostova,0,,
cv_rozenbaum_20230206.pdf,Oded Rozenbaum,0,,
cvannahelm_august2012.pdf,Anna Helm,0,,
davide_sonzogni_cv_august_2023.pdf,Davide Sonzogni,1,Artificial Intelligence,"      EDUCATION   Massachusetts Institute of Technology - Sloan School of Management              Online   Certificate, Artificial Intelligence: Implications for Business Strategy           2018    George Washington University                                     "
debass_cv-2025-gw.pdf,Thomas Debass,0,,
denise_falchetti_cv_2025_01_22.pdf,Denise Falchetti,1,AI,partment (2022 – now)  EDUCATIONAL ACTIVITIES June 2023 RM-CARMA Consortium [online] May 2023 Teaching Entrepreneurship AI Summit [online]                                                                                                        
ernie_englander_cv_may_2023.pdf,Ernie Englander,0,,
eve_misati_cv_june_2023.pdf,Everlyne Misati,0,,
ferreira_curriculum_vitae_20250520.pdf,Johan Ferreira,0,,
gwu_curriculum_vitae_stephen_d_young.pdf,Stephen Young,2,Machine Learning,"ation), Discrete Event Simulation, Uncertainty Analysis  (i.e. Probability), Data Analysis (i.e. Multivariate Methods), Machine Learning  (i.e. supervised and unsupervised  learning) , Survey of Research Methods (i.e. Decision Trees, Bayesian Belief Networ || Probability and Statistics, Regression and Multivariate Analysis, Generalized Linear Models,  Time Series, Data Mining, Machine Learning, Stochastics and Monte Carlo Simulation, Optimization, Advanced  Modeling Techniques, Risk Analytics, Database Design a"
handorf-cv-02-08-2016.doc,William C. Handorf,,,
jabbour  CV 2025.pdf,George M. Jabbour,0,,
jacobscv25.pdf,David Jacobs,1,AI,"992).  ""John Dunlop and the Quest for Consensus,"" The Academy of Management Review (July 1986). PRACTITIONER ARTICLES: “AI: Its Possibilities and Discontents,” Perspectives on Work (Fall 2024). “The Politicization of Catholic Social Teaching,"
jeffrey_joseph_cv.pdf,Jeffrey Joseph,0,,
jiawen_yang_cv_2023_ar.pdf,Jiawen Yang,0,,
jorge_rivera_cv_august_2023.pdf,Jorge E. Rivera,0,,
