personal_url,name,num_hits,matches,snippets,cv_filename
https://lijiangucla.weebly.com/,Li Jiang,2,AI; artificial intelligence,"rature by highlighting its inherent malleability, particularly in marketing contexts such as consumer interactions with artificial intelligence service agents, and how consumers respond to data sharing requests from mobile apps. This underscores the importance of ||  (ABS4) Kim, T., Jiang, L., Duhachek, A., Lee, H., Garvey, A. (2022). Do You Mind if I Ask You a Personal Question? How AI Service Agents Alter Consumer Self-Disclosure. Journal of Service Research , 25 (4), 649- 666. Coping and Decision Stra",
https://long-he.github.io/,Long He,3,AI; Machine Learning; Reinforcement Learning,"g from The Hong Kong University of Science and Technology. My current research combines data-driven optimization and ML/AI to address practical problems in smart city operations (e.g., shared mobility, last-mile delivery, and urban policing), || rations Research, INFORMS, 2025 Accepted at NeurIPS 2025 MLxOR Workshop “ Dispatch or Hold? An Inverse Optimization and Reinforcement Learning Approach for Multi-Objective On-Demand Delivery .” (with Yihua Wang, Zhengling Qi, and Stefan Minner). Under Revision i || .), in Springer Series in Supply Chain Management , C. Tang (Series Ed.) Teaching GWU Supply Chain Analytics (BBA/MSBA) Machine Learning I/II (MSBA) Optimization I/II (MSBA) NUS Introduction to Optimization (BBA) Predictive Analytics in Business (BBA) Fore",
https://sites.google.com/view/meghana-ayyagari,Meghana Ayyagari,0,,,
https://iiep.gwu.edu/robert-weiner/,Robert J. Weiner,0,,,Weiner-CV-Dec-23-428d3c061bbe7d0e_1771595457.pdf
https://www.savickas.education/Robert,Robert Savickas,0,,,curriculum-vitae_1771595458
http://www.rodimirorodrigo.com/,Rodimiro Rodrigo,1,automation,"d my Ph.D. in Economics from Georgetown University , where I was awarded the 25 th Razin Prize . I study the effects of automation technologies on firms and workers. You can find here my CV . R esearch fields: Macroeconomics, Labor Economics , and In",CV-RRF2023_1771595459.pdf
https://sites.google.com/site/senayagcaweb/,Senay Agca,0,,,view_1771595461
https://blogs.gwu.edu/umpleby/,Stuart Umpleby,0,,,
http://debass.com/,Thomas Debass,0,,,
https://hnresearchgroup.com,Thomas Novak,7,AI; artificial intelligence; machine learning; natural language processing," research is focused on using conceptual, empirical and computational approaches to understand consumer experience with AI. Her work has been published in all of the field's top journals and enjoys wide impact with over 42,000 Google scholar  || , USC, and UCSD. She was named a Distinguished Graduate Alumnus of UNC in 2002. Research Focus Consumer experience with AI using conceptual, computational, and empirical approaches. Digital marketing strategy and online consumer behavior. Goo || ve years at Young & Rubicam, New York. Research Focus Consumer behavior in online environments, Internet of Things, and machine learning methods for understanding emergent consumer experiences. Google Scholar | Download CV (PDF) | Email Research Areas Asse || ing applications of flow theory to understand optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational s || nd optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational social science and machine learning methods. Digital Marketing Fo",
https://vikrambhargava.com/,Vikram R. Bhargava,4,AI; algorithms; artificial intelligence,"Vikram R. Bhargava Research and speaking on AI ethics and policy Education Ph.D., Wharton Bio Vikram R. Bhargava is an assistant professor of strategic management & p || organizational contexts. He is interested in topics including technology addiction , mass social media outrage , hiring algorithms and the future of work , autonomous vehicles , and other topics related to artificial intelligence (AI) policy and ethi || ass social media outrage , hiring algorithms and the future of work , autonomous vehicles , and other topics related to artificial intelligence (AI) policy and ethics. His research has been published by the Business Ethics Quarterly, Journal of Business Ethics, a || , hiring algorithms and the future of work , autonomous vehicles , and other topics related to artificial intelligence (AI) policy and ethics. His research has been published by the Business Ethics Quarterly, Journal of Business Ethics, and t",
http://www.vontrese.com/,Vontrese Pamphile,0,,,
https://yixin-ylu.github.io/,Yixin Lu,0,,,
https://sites.google.com/view/yuan-guo/bio,Yuan Guo,0,,,
https://sites.google.com/view/statsqizl/,Zhengling Qi,3,large language model; machine Learning; reinforcement learning,"perations Research at University of North Carolina, Chapel Hill in 2019.  My general research interests are statistical machine Learning and related non-convex optimization. My current research is focused on reinforcement learning and large language models || earch interests are statistical machine Learning and related non-convex optimization. My current research is focused on reinforcement learning and large language models. GWU students and potential visitors are welcome to contact me. Contact Information Email: qi || ical machine Learning and related non-convex optimization. My current research is focused on reinforcement learning and large language models. GWU students and potential visitors are welcome to contact me. Contact Information Email: qizhengling@email.gwu.edu A",
