name,fac_profile_url,fac_profile_num_hits,fac_profile_matches,fac_profile_snippets,per_site_url,per_site_num_hits,per_site_matches,per_site_snippets,cv_filename,cv_num_hits,cv_matches,cv_snippets,total_hits
Herman Aguinis,https://business.gwu.edu/herman-aguinis,1,data science,"acquisition and deployment of talent in organizations and organizational research methods (i.e., behavioral science and data science). Recent projects address corporate social responsibility and business sustainability, domestic and international workf",https://hermanaguinis.com/,1,data science,"in organizations and research methods, technology, and analytics (i.e., behavioral                         science and data science). He has published 13 books and about 235 journal articles .  						His research has received about 76,000 Google Schol",,0,,,2
Homayoun Khamooshi,https://business.gwu.edu/homayoun-khamooshi,1,prediction,"l of Management in Engineering, Volume 33 Issue 1 - January 2017 Salari M., Khamooshi H., ‘A better project performance prediction model using fuzzy time series and data envelopment analysis’, Journal of Operations Research Society (JORS), vol. 67(10",,0,,,Khamooshi_Homayoun_Faculty_CV_2016.03.28.pdf,2,Algorithm; prediction,"(Sept. 2011)            Refereed Published Journal Papers     Salari M., Khamooshi H., ‘A better proj ect performance prediction model using fuzzy  time series and data envelopment analysis’, J ournal of Operations Research Society  (JORS), 2016, 0 || , UK.          Refereed Published Conference Papers     Khamooshi H., Cioffi Denis, ‘ Analytic Contingency Setting: An Algorithm for Estimating  Contingencies’,  INFORMS 2010 annual confer ence, Austin, Texas.   Cioffi Denis, Khamoos hi H., Kwak Y",3
Hossein Askari,,0,,,,0,,,Askari_Hossein_Faculty_CV_-2016.06.21.pdf,1,Ai,"Protection,"" with V. Corbo, Estudios de  Economia , No. 16, Segundo Semestre 1980 -  Primer Semestr e 1981.     ""OPEC's Ai d Performance: An Appraisal,"" SAIS Review , Number 2, 1982.    ""The Gulf: Gold Rush or Economic Development? With J. Cu",1
Jackie Ferree,https://business.gwu.edu/jackie-ferree,1,automation,ience utilizing business intelligence and data analytics to support decision-making in conjunction with robotic process automation to drive efficiency and alignment of resources with stated business objectives using practical application teaching tec,,0,,,,0,,,1
Joel Gehman,,0,,,,0,,,Gehman_CV_20220218.pdf,2,Data Science; Neural Network,"Inquiry. 26: 303–325. doi:10.1177/1056492616689303.  17. Dong, C., Dong, X., Gehman, J. & Lefsrud, L.M. 2017. Using BP Neural Networks to Prioritize Risk Management Approaches for China’s Unconventional Shale Gas Industry. Sustainability. 9: 979. doi:10 || The Politics of Data. Moderator: C. Steele. Panelists: W. Espeland, J. Gehman, P.D. Jennings & D. Kirsch. Interpretive Data Science (IDeaS) Workshop, Alberta School of Business, October 25-26, 2019. 119. Eckert, H., Lefsrud, L.M. & Gehman, J. Creative",2
John Frechette,https://business.gwu.edu/john-frechette,2,AI; artificial intelligence,"asting, and investment strategy. He is also the Co-Founder and CEO of Moara.io, a venture-backed SaaS company that uses artificial intelligence to transform the way scholars and R&D teams conduct academic literature reviews. The platform is used by researchers at || University and a Bachelor of Science in Finance from Bridgewater State University. Areas of Expertise Economic Strategy AI in Research & Innovation Supply Chain Analytics Pricing & Market Analysis Venture Development Publications Auto Supply",,0,,,,0,,,2
Jorge Walter,https://business.gwu.edu/jorge-walter,2,artificial intelligence,"gement Journal . His latest book, “ Reconceptualizing organizational control: Managing in the age of hybrid workplaces, artificial intelligence, and the gig economy, ” is published by Cambridge University Press. Dr. Walter has served as associate editor of the Jo || s Kreutzer, M. & Walter, J. (2025). Reconceptualizing organizational control: Managing in the age of hybrid workplaces, artificial intelligence, and the gig economy . Cambridge University Press. Walter, J., Kreutzer, M., & Kreutzer, K. (2021). Setting the tone fo",http://www.jorgewalter.com/,5,AI; Artificial Intelligence; algorithms,"penhagen, Denmark. Markus Kreutzer and I presented our recent work on “Control-trust dynamics in the context of agentic algorithms” as part of and Chris Long and Simon Schafheitle’s insightful symposium on “Control and Trust Dynamics in the Age of AI || ms” as part of and Chris Long and Simon Schafheitle’s insightful symposium on “Control and Trust Dynamics in the Age of AI and Big Data.” It was also the first time my daughter Sophia accompanied me to an academic conference, and we managed t || . Genesis (2024) 06/15/2025 08/16/2025 Jorge Walter By Henry Kissinger, Craig Mundie, & Eric Schmidt The second book on AI by some of the world’s most renown thinkers on technology and society–and Henry Kissinger’s last book–that offers a num || technology and society–and Henry Kissinger’s last book–that offers a number of insightful reflections on the impact of AI on our human society and beyond. 2025 Glamies High School Theatre Awards 05/28/2025 07/30/2025 Jorge Walter Congratulat || arkus Kreutzer and my new book on “ Reconceptualizing Organizational Control: Managing in the Age of Hybrid Workplaces, Artificial Intelligence, and the Gig Economy ” is now available on the Cambridge University Press website! Difficult Conversations (2023) 10/13",CV_JWalter_January2026.pdf,4,algorithmic; algorithms; artificial intelligence; automation,"Kreutzer, M. & Walter, J. (202 5). Reconceptualizing organizational control: Managing in the age of hybrid  workplaces, artificial intelligence, and the gig economy . Cambridge University Press.     Recognized as a finalist for the 2025 European Group for Organiz || nuary 2026 - Page 5 of 19 Non-Refereed Publications     [5] Walter, J. & Kreutzer, M. (202 6). Beyond humans: Exploring algorithmic control in 21st-century organizations.  In: Cardinal, L. B., Kreutzer, M., & Miller, C. C. (eds.). Research handbook on || d Professional Meetings    [44] Kreutzer, M.  & Walter, J.  (2025). Control -trust dynamics in the c ontext of a gentic algorithms . Academy of  Management Annual Meeting, Copenhagen, Denmark.     [43] Kreutzer, M. & Walter, J. (2025). Organizational || nancial planning system for distribution  centers     1997  Siemens Business Services, Munich, Germany   Summer Intern; automation of the reporting system on the basis of MS Excel macros     1996  Member of the student initiative “Marketing zwischen",11
Jungho Suh,https://business.gwu.edu/jungho-suh,2,Generative AI,"on Sense Meets Traveler Rights. ” Hotel Business Review (2024, December) “Evidence-Based Hotel Management in the Age of Generative AI.” Link: https://www.hotelexecutive.com/feature_focus/8126/evidence-based-hotel-… Suh, J. (2024, June 27). Harnessing To || via The National Desk (August 2023). Presentations Suh, J. (July 2024). “Evidence-based Entrepreneurship in the Age of Generative AI.” ICSB World Congress 2024, Berlin, Germany. Suh, J. (July 2023). “Relationship Between Jinju City, Capital of K-Entrep",,0,,,,0,,,2
Li Jiang,https://business.gwu.edu/li-jiang,3,AI; artificial intelligence; prediction,"(ABS4) Kim, T., Jiang, L., Duhachek, A., Lee, H., Garvey, A. (2022). Do You Mind if I Ask You a Personal Question? How AI Service Agents Alter Consumer Self-Disclosure. Journal of Service Research , 25 (4), 649- 666. Coping and Decision Stra || rature by highlighting its inherent malleability, particularly in marketing contexts such as consumer interactions with artificial intelligence service agents, and how consumers respond to data sharing requests from mobile apps. This underscores the importance of || and balancing strategies, as well as real-world financial outcomes and online reviewing behavior. The PFM scale enables prediction of which market segments are most susceptible to decision contexts. This scale, a valuable toolkit for researchers in t",https://lijiangucla.weebly.com/,2,AI; artificial intelligence,"rature by highlighting its inherent malleability, particularly in marketing contexts such as consumer interactions with artificial intelligence service agents, and how consumers respond to data sharing requests from mobile apps. This underscores the importance of || (ABS4) Kim, T., Jiang, L., Duhachek, A., Lee, H., Garvey, A. (2022). Do You Mind if I Ask You a Personal Question? How AI Service Agents Alter Consumer Self-Disclosure. Journal of Service Research , 25 (4), 649- 666. Coping and Decision Stra",,0,,,5
Long He,https://business.gwu.edu/long-he,3,Machine Learning; machine learning,"s B.Eng. in Logistics Management and Engineering from HKUST. His current research combines data-driven optimization and machine learning to address practical problems in smart city operations (e.g., shared mobility, last-mile delivery, and urban policing), || ience & Logistics (TSL) Best Paper Award, INFORMS, 2019 M&SOM Journal Best Paper Award, INFORMS, 2019 Teaching DNSC6314 Machine Learning I DNSC6315 Machine Learning II DNSC4282/6280 Supply Chain Analytics DNSC6307 Optimization I DNSC6308 Optimization II || Paper Award, INFORMS, 2019 M&SOM Journal Best Paper Award, INFORMS, 2019 Teaching DNSC6314 Machine Learning I DNSC6315 Machine Learning II DNSC4282/6280 Supply Chain Analytics DNSC6307 Optimization I DNSC6308 Optimization II",https://long-he.github.io/,3,AI; Machine Learning; Reinforcement Learning,"g from The Hong Kong University of Science and Technology. My current research combines data-driven optimization and ML/AI to address practical problems in smart city operations (e.g., shared mobility, last-mile delivery, and urban policing), || rations Research, INFORMS, 2025 Accepted at NeurIPS 2025 MLxOR Workshop “ Dispatch or Hold? An Inverse Optimization and Reinforcement Learning Approach for Multi-Objective On-Demand Delivery .” (with Yihua Wang, Zhengling Qi, and Stefan Minner). Under Revision i || .), in Springer Series in Supply Chain Management , C. Tang (Series Ed.) Teaching GWU Supply Chain Analytics (BBA/MSBA) Machine Learning I/II (MSBA) Optimization I/II (MSBA) NUS Introduction to Optimization (BBA) Predictive Analytics in Business (BBA) Fore",,0,,,6
Marie Matta,https://business.gwu.edu/marie-matta,2,Algorithm; Algorithms,"atics, Economics, and Policy Management Studies (Triple Major), Dickinson College Publications Matta, Marie, “A Genetic Algorithm for the Proportionate Multiprocessor Open Shop,” Computers and Operations Research , September 2009, Vol. 36, No. 9, pp || perations Research , September 2009, Vol. 36, No. 9, pp. 2601-2618 Matta, Marie and Elmaghraby, Salah, “Polynomial Time Algorithms for Two Special Classes of the Proportionate Multi-Processor Open Shop,” European Journal of Operational Research , 16",,0,,,,0,,,2
Michael Tadesse,https://business.gwu.edu/michael-tadesse,7,AI; algorithms,"chnology, psychology, and strategy converge to shape the future of marketing and commerce. He teaches courses including AI Application in Marketing Strategy, Consumer Neuroscience and Persuasion, Digital Marketing in the Age of AI, and Contem || s including AI Application in Marketing Strategy, Consumer Neuroscience and Persuasion, Digital Marketing in the Age of AI, and Contemporary Marketing, blending theory with live, applied projects. His classes operate as innovation labs, where || local businesses to tackle real-world marketing challenges. Rather than relying solely on case studies, students design AI-powered prototypes, debate emerging ideas, and develop vision-driven products that address real market needs. They are || al consumer-facing brands. An entrepreneur at heart, he has founded ventures in food technology, health technology, and AI-first consulting, helping small and mid-sized businesses understand how to be discovered and trusted in the age of inte || rategy, customer loyalty, digital transformation, hyper-personalization, and consumer psychology. Select Courses Taught AI Application in Marketing Strategy: How hyper-personalization and predictive algorithms are redefining discovery, attrib",,0,,,,0,,,7
Miguel Lejeune,https://business.gwu.edu/miguel-lejeune,8,Algorithm; Algorithms; algorithms,"rom the National Science Foundation (NSF): AMPS: Risk-Averse Optimization for Stressed Power Grids: Models, Theory, and Algorithms (2024–2027). Collaborative Research: A Risk-based Real-Options Approach for Infrastructure Systems Protection Investmen || Constraints. Operations Research 57 (3), 650-670, 2009. With P. Bonami. Preprocessing Techniques and Column Generation Algorithms for Stochastically Efficient Demand Trajectories. Journal of the Operational Research Society 59, 1239-1252, 2008. Show || ain Management. Journal of Operations Management 23 (1), 81-100, 2005. With N. Yakova. A Coordinate-Columnwise Exchange Algorithm for the Construction of Supersaturated, Saturated and Non-Saturated Designs. American Journal of Mathematical and Manag || book of Financial Econometrics and Statistics. Eds: C.-F. Lee, J. Lee. Springer, 2013. A Coordinate-Columnwise Exchange Algorithm for the Construction of Supersaturated, Saturated and Non-Saturated Designs. 2004. In: Modern Mathematical, Management, || d the mathematical structure of optimization problems, design computationally efficient model formulations and scalable algorithms, and provide scientific solutions to societal and industry problems. ” Dean’s Best Senior Faculty Research Award . Geor",,0,,,,0,,,8
N. Sharon Hill,,0,,,,0,,,nshill_cv_03112025_for_website.pdf,2,AI; artificial intelligence,"and  virtual work      Refereed  Conference  Presentations  Hill, N. S. (2025).  Designing student teams in the age of AI.  Interdisciplinary Network for Group  Research Virtual Conference.     -  N. Sharon  Hill - 4    Hill, N. S. (2025). || cademy of Management National Conference, Chicago, IL (2024)    Co-organizer /moderator . Advancing research on human- artificial intelligence -enabled  technology collaboration.  Panel Discussion  at the Interdisciplinary Network for Group Research  National Co",2
Patrick Hall,https://business.gwu.edu/patrick-hall,43,AI; Artificial Intelligence; Artificial intelligence; Machine Learning; ai; algorithm; artificial intelligence; machine learning,"Patrick Hall Patrick Hall Teaching Assistant Professor of Decision Sciences Chief AI Officer, GW School of Business Contact: Email: Patrick Hall Office Phone: (202) 994-0795 Google Scholar profile Curricu || 2201 G Street NW Washington, D.C.  20052 Patrick Hall is a teaching assistant professor of decision sciences and Chief AI Officer at the George Washington University School of Business, teaching data ethics, business analytics, and machine l || Chief AI Officer at the George Washington University School of Business, teaching data ethics, business analytics, and machine learning classes. He also conducts research in support of NIST's AI risk management framework, is affiliated with leading fair l || teaching data ethics, business analytics, and machine learning classes. He also conducts research in support of NIST's AI risk management framework, is affiliated with leading fair lending and AI risk management advisory firms, and serves on || e also conducts research in support of NIST's AI risk management framework, is affiliated with leading fair lending and AI risk management advisory firms, and serves on the board of directors for the AI Incident Database. Patrick has co-found",,0,,,jph_cv_current.pdf,190,AI; Algorithm; Algorithmic; Artificial Intelligence; Data Science; Deep Learning; Generative AI; Machine Learning; NLP; Neural network; Predictive Modeling; ai; algorithm; algorithmic; artificial intelligence; data science; deep learning; generative AI; machine learning,"Teaching Faculty ,The George Washington School of Business , Washington, DC ○Conducting research in support of the NIST AI Risk Management Framework. ○Teaching graduate and undergraduate classes relating to business analytics, data ethics and || ent Framework. ○Teaching graduate and undergraduate classes relating to business analytics, data ethics and responsible AI. 2023–Present Principal Scientist ,HallResearch.ai , Washington, DC ○Founded boutique AI consultancy with focus on resp || classes relating to business analytics, data ethics and responsible AI. 2023–Present Principal Scientist ,HallResearch.ai , Washington, DC ○Founded boutique AI consultancy with focus on responsible AI advice and implementation. ○Advising on || s, data ethics and responsible AI. 2023–Present Principal Scientist ,HallResearch.ai , Washington, DC ○Founded boutique AI consultancy with focus on responsible AI advice and implementation. ○Advising on traditional model governance and gener || resent Principal Scientist ,HallResearch.ai , Washington, DC ○Founded boutique AI consultancy with focus on responsible AI advice and implementation. ○Advising on traditional model governance and generative AI risk management. ○Auditing high-",233
Refik Soyer,,0,,,,0,,,refik_soyer_2025_resume.pdf,3,Data Science; Prediction,"nference in   Stochastic Processes, Madrid, Spain, June 1 2-14, 2019.     Member, Program Committee of the Symposium on Data Science & Statistics, Reston, VA, May  16-19, 2018.   Member: Scientific Program Committee of the Tenth Workshop on Bayesian In || chi), Institute of Environmental Sciences Proceedings, Vol. 2, 1992, pp. 422- 426.     [22]""Reliability Ass essment and Prediction during Product Development, (with T. A. Mazzuchi),  Proceedings of Annual Reliability and Maintainability Symposium , 1 || s of Bayesian Multivariate Integer -Valued Autoregressive Processes ”, IMS   International Conference on Statistics and Data Science, Florence , December 15.    2022 “ Bayesian Modeling of  Multivariate Non -Gaussian Time Series Data”, Statistics Group",3
Robin L. Tarpley,https://business.gwu.edu/robin-l-tarpley,1,Prediction,"Nelson), Accounting Review , Quality of Earnings Conference supplement, 2002. “Contextual Fundamental Analysis and the Prediction of Extreme Returns” (with Charles M.C. Lee and Messod D. Beneish), Review of Accounting Studies , 6, pp. 165-189, 2001.",,0,,,,0,,,1
Rodimiro Rodrigo,https://business.gwu.edu/rodimiro-rodrigo,1,automation,"national Business at the George Washington University School of Business (GWSB). His research focuses on the effects of automation on firms and workers. In his current research, he explores the role of organizational change after robot adoption for p",http://www.rodimirorodrigo.com/,1,automation,"d my Ph.D. in Economics from Georgetown University , where I was awarded the 25 th Razin Prize . I study the effects of automation technologies on firms and workers. You can find here my CV . R esearch fields: Macroeconomics, Labor Economics , and In",,0,,,2
Sanjay Jain,https://business.gwu.edu/sanjay-jain,1,Machine Learning,"the International School of Project Management in New Delhi for 2009-2013. Selected Publications “Digital Twin–Enabled Machine Learning for Smart Manufacturing,” Jain, S., and A, Narayanan, Smart and Sustainable Manufacturing Systems, Vol. 7, No. 1, 2023,",,0,,,,0,,,1
Sevin Yeltekin,https://business.gwu.edu/sevin-yeltekin,4,AI; generative AI,"ent, and oversaw the creation of forward-looking academic programs—including MS degrees in Business Analytics & Applied AI, and AI in Business. She launched a comprehensive generative AI initiative to embed AI education across the curriculum || oversaw the creation of forward-looking academic programs—including MS degrees in Business Analytics & Applied AI, and AI in Business. She launched a comprehensive generative AI initiative to embed AI education across the curriculum and forg || emic programs—including MS degrees in Business Analytics & Applied AI, and AI in Business. She launched a comprehensive generative AI initiative to embed AI education across the curriculum and forged new interdisciplinary partnerships with engineering, || in Business Analytics & Applied AI, and AI in Business. She launched a comprehensive generative AI initiative to embed AI education across the curriculum and forged new interdisciplinary partnerships with engineering, the arts and sciences,",,0,,,,0,,,4
Stephen Young,,0,,,,0,,,gwu_curriculum_vitae_stephen_d_young.pdf,5,Data Science; Machine Learning; Prediction; algorithmic,"ment efforts, during my tenure I l ed a successful technology effort to change trading platforms to a broker - neutral, algorithmic execution -based  system, which  also facilitated  order management.  The team also produces research  on topics relate || ation), Discrete Event Simulation, Uncertainty Analysis  (i.e. Probability), Data Analysis (i.e. Multivariate Methods), Machine Learning  (i.e. supervised and unsupervised  learning) , Survey of Research Methods (i.e. Decision Trees, Bayesian Belief Networ || and   Systems Engineering, Committee Member     Northwestern University    Master of Science in Predictive Analytics  (Data Science)  – G.P.A.: 4.0/4.0    Coursework  including:  Probability and Statistics, Regression and Multivariate Analysis, Genera || Probability and Statistics, Regression and Multivariate Analysis, Generalized Linear Models,  Time Series, Data Mining, Machine Learning, Stochastics and Monte Carlo Simulation, Optimization, Advanced  Modeling Techniques, Risk Analytics, Database Design a || ural  Default Modeling: A Hy brid Based Approach, “Journal of Fixed Income .” Volume 23, No. 4, Spring 2014.     On the Prediction of One -Month, Out -of-Sample, Realized, Equity Index Volatility, Working Paper, George  Washington University.     Mit",5
Sunghun Chung,https://business.gwu.edu/sunghun-chung,10,AI; Artificial Intelligence; artificial intelligence; generative AI,"(1) how digital innovations emerge and reconfigure value across ecosystems, and (2) how digital technologies—especially artificial intelligence (AI)—can narrow socioeconomic gaps and foster digital inclusion. His program of research is organized around three inte || ns emerge and reconfigure value across ecosystems, and (2) how digital technologies—especially artificial intelligence (AI)—can narrow socioeconomic gaps and foster digital inclusion. His program of research is organized around three interloc || (platform design, governance, and communication strategies), digital inclusion (fintech access, responsible/transparent AI, and equity in digital markets), and digital innovation (executive incentives, patenting, environmental contingencies, || earcher at the Desautels Faculty of Management at McGill University. At GWSB, Dr. Chung teaches foundational courses on AI and generative AI at both the undergraduate and graduate levels and partners with startups in the U.S. and Asia on AI-e || at the Desautels Faculty of Management at McGill University. At GWSB, Dr. Chung teaches foundational courses on AI and generative AI at both the undergraduate and graduate levels and partners with startups in the U.S. and Asia on AI-enabled decision su",,0,,,CV_Sunghun_CHUNG_GWU_Oct2025.pdf,27,AI; Algorithmic; Artificial Intelligence; Deep Learning; GenAI; Generative AI; Machine Learning,"• Research Area: Digital Inclusion, Digital Platform Strategy, Digital Innovation, Responsible AI, Social Media  • Research Methods: Randomized Field Experiments, Applied Econometrics, and Machine Learning  SELECTED J || l Innovation, Responsible AI, Social Media  • Research Methods: Randomized Field Experiments, Applied Econometrics, and Machine Learning  SELECTED JOURNAL PUBLICATIONS                [1] Kim, J., Yoon, S., Chung, S., and Oh, W. (2025) “Working Daily, Paid || 3rd round review at Journal of Operations Management (UTD-24, FT-50). [2] Chung, S., Lee, C., and Zheng, Z. “Delivering AI Responsibly for Digital Equity: Three Sequential Field Experiments in Revenue-Based Financing,” Under revision for 2nd || round review at MIS Quarterly (UTD-24, FT-50). [3] Min, D., Chung, S., Lee, C., and Duan, W. “Implementing Explainable Artificial Intelligence for Non-Expert Users in Mobile Health Management: Evidence from a Randomized Field Experiment,” Under revision for 2nd || nal of Management (ABS 4). [6] Yu, W., Chung, S., Fang, M., Ho, Y .-C., Liu F. “Does Techwashing Pay Off? The Impact of AI Decoupling on Financial Performance and the Moderating Role of Labor Intensity,” Under review at Journal of Strategic I",37
Thomas Choate,,0,,,,0,,,Choate_CV.pdf,1,Generative AI,"sent) Future Enrollment Planning subcommittee (2023 – Present) Academic Integrity Code Review subcommittee (2022 –2025) Generative AI in Writing in the Disciplines working group (2024) Fiscal Planning & Budgeting Committee, GW Faculty Senate (May 2025 –",1
